id,timestamp,text,searchQuery,clean_content
1838735151679050214,2024-09-25 00:19:00+00:00,When you go to papua speed? We miss you so much. I still waiting for your 4th stream in Indonesia @s,speed in Indonesia ,When you go to papua speed We miss you so much I still waiting for your 4th stream in Indonesia 
1838558039676252480,2024-09-24 12:36:00+00:00,"High speed rail project is agreed in 2015, this is 9 years ago. But currently Indonesia imposed 200% tariff, so obviously Indo-China relations it's not OK",speed in Indonesia ,High speed rail project is agreed in 2015 this is 9 years ago But currently Indonesia imposed 200 tariff so obviously IndoChina relations its not OK
1838565369705042139,2024-09-24 13:05:00+00:00,"Speed can get 2m live viewers in Indonesia, it's very easy because there are many YouTubers from Indonesia who can get more than 2m live viewers. But IRL speed is full of zombies. I'm Indonesian so I don't enjoy IRL speed.",speed in Indonesia ,Speed can get 2m live viewers in Indonesia its very easy because there are many YouTubers from Indonesia who can get more than 2m live viewers But IRL speed is full of zombies Im Indonesian so I dont enjoy IRL speed
1838564164794474767,2024-09-24 13:00:00+00:00,Speed learn santai and sabar in Indonesia and decided to use it in other SEA country hahahaha,speed in Indonesia ,Speed learn santai and sabar in Indonesia and decided to use it in other SEA country hahahaha
1838509868753592403,2024-09-24 09:24:00+00:00,Lamborghini to Bike speed in Indonesia,speed in Indonesia ,Lamborghini to Bike speed in Indonesia
1838537949291626857,2024-09-24 11:16:00+00:00,"Most streamed videos in Indonesia 

Speed is in different league",speed in Indonesia ,"Most streamed videos in Indonesia 

Speed is in different league"
1838356371164795085,2024-09-23 23:14:00+00:00,"Speed visited four more countries before landing in Indonesia where his broadcast exploded to over 1,000,000 live viewers, prompting him to burst out in tears.",speed in Indonesia ,Speed visited four more countries before landing in Indonesia where his broadcast exploded to over 1000000 live viewers prompting him to burst out in tears
1838396575422517570,2024-09-24 01:54:00+00:00,"after watching speed in singapore. and how their people handled it. i can say, indonesia is the best experience in the region. malaysia is mid, but not as bad as singapore. although we’re not giving a social media celebrity a cultural experience. it is what KL is. KL is boring.",speed in Indonesia ,after watching speed in singapore and how their people handled it i can say indonesia is the best experience in the region malaysia is mid but not as bad as singapore although were not giving a social media celebrity a cultural experience it is what KL is KL is boring
1838229836411625538,2024-09-23 14:52:00+00:00,"BREAKING NEWS! Promoters in Indonesia can now purchase our NEW Super Pack and earn UNLIMITED SPEED BONUSES for the next 100 DAYS!

This EXCLUSIVE deal expires December 31, 2024. DO NOT WAIT! Go to your Portal and order it TODAY!",speed in Indonesia ,"BREAKING NEWS Promoters in Indonesia can now purchase our NEW Super Pack and earn UNLIMITED SPEED BONUSES for the next 100 DAYS

This EXCLUSIVE deal expires December 31 2024 DO NOT WAIT Go to your Portal and order it TODAY"
1838221996863463576,2024-09-23 14:20:00+00:00,Flashback:-Speed is currently in Indonesia & as soon as he got out of his car.,speed in Indonesia ,FlashbackSpeed is currently in Indonesia  as soon as he got out of his car
1838508618007875766,2024-09-24 09:19:00+00:00,"雅万高铁飞驰一年，印尼想修延长线 介文汲:在印尼造成极大的震撼The Jakarta Bandung high-speed railway has been running for a year, and Indonesia wants to build an extension line. This has caused great shock in Indonesia
@xuejianosaka",speed in Indonesia ,"雅万高铁飞驰一年印尼想修延长线 介文汲在印尼造成极大的震撼The Jakarta Bandung highspeed railway has been running for a year and Indonesia wants to build an extension line This has caused great shock in Indonesia
"
1838533232427471018,2024-09-24 10:57:00+00:00,"Indonesia language is always on Speed's mind, In whatever country he is , '' sabar ''   "" santay "" 🤣",speed in Indonesia ,Indonesia language is always on Speeds mind In whatever country he is   sabar     santay  
1838507374224482651,2024-09-24 09:14:00+00:00,Don't say santai in Singapore it's a Indonesia word speed,speed in Indonesia ,Dont say santai in Singapore its a Indonesia word speed
1838499083193061541,2024-09-24 08:41:00+00:00,"Speed still said “Santai” in Cambodia and Singapore, Bro can’t move on from Indonesia 😭",speed in Indonesia ,Speed still said Santai in Cambodia and Singapore Bro cant move on from Indonesia 
1838467470992310388,2024-09-24 06:36:00+00:00,"In indonesia, it's called ""Whoosh"". The name is taken from onomatopoeia from the sound of air being passed by a high-speed vehicle.",speed in Indonesia ,In indonesia its called Whoosh The name is taken from onomatopoeia from the sound of air being passed by a highspeed vehicle
1838355219874484386,2024-09-23 23:10:00+00:00,"Speed only took 3 days and he experienced everything in Indonesia, became Javanese Aristocrat, confronted Indonesian ghosts, and getting violated by Hanuman",speed in Indonesia ,Speed only took 3 days and he experienced everything in Indonesia became Javanese Aristocrat confronted Indonesian ghosts and getting violated by Hanuman
